courseCode,courseName,courseDesc,preReqs,FYS,SOPH,DIAP,WRIT,CBLR,COEX
APMA 0360,Applied Partial Differential Equations I,"This course builds on APMA 0350 which covers ordinary differential equations and systems involving a single independent variable. We will look at processes with two or more independent variables formulated as partial differential equations (PDE) using concepts from multivariable calculus. We will see how problems are described quantitatively as PDEs, how seemingly unrelated contexts can result in similar equations; and develop methods for solution using analytical, numerical or qualitative methods. Contexts include first order equations; the second order wave equation and problems involving diffusion processes; steady state balances for systems in two or three dimensions; together with insights from theory.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ARAB 0100,First-Year Arabic,"Builds basic listening, speaking, reading, and writing skills, introducing the Arabic language in its cultural environment. Four contact hours per week, with an emphasis on grammar and communication, plus written, audio, and video assignments outside of class. This is the first half of a two-semester sequence course whose first semester grade is normally a temporary one. Neither semester may be elected independently without special written permission. The final grade at the end of the course work in ARAB 0200 covers the entire year and is recorded as the final grade for both semesters. If course is full, please request an override.  Enrollment limited to 18.","[('ARAB 0200', 0), ('ARAB 0200', 0), ('ARCH 0150', 0), ('ARCH 0300', 0), ('ARCH 0353', 0), ('ARCH 0424', 0), ('ARCH 0428', 0), ('ARCH 0679', 0)]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ARAB 0300,Second-Year Arabic,"Develops listening, speaking, reading and writing skills at the intermediate level of language proficiency through extensive use of various texts and multimedia. Promotes better understanding of Arabic cultural traditions. Five contact hours weekly, plus written, audio, and video assignments outside of class. Prerequisite: ARAB 0200. This is the first half of a year-long course. Neither semester may be elected independently without special written permission. The final grade at the end of the course work in ARAB 0400 covers the entire year and is recorded as the final grade for both semesters.","[('ARAB 0400', 0)]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ARAB 0450A,Beginning Levantine Colloquial,"Parting from the solid foundation built in MSA during the first two years of Arabic studies, this course will accelerate students’ advancement toward language proficiency by introducing them to Levantine Colloquial, one of the major varieties of Arabic. In preparation for class meetings, we will view and read a variety of media from the Levant. Oral communication and understanding Levantine cultures and contemporary societies will be the focus of our meetings. At the end of the semester, students will gain confidence to function in an ample variety of social and cultural environments and access a wider range of media.",[],FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
ARAB 0500,Third-Year Arabic,"Offers comprehensive training in listening, speaking, reading, and writing, with grammar review as needed. Broadens students' perspective of Arabic culture using selections from the classical and modern traditions of Arabic writing and various art forms. Four contact hours weekly. Prerequisite: ARAB 0400.","[('ARAB 0600', 0)]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ARAB 0700,Advanced Arabic:  Tales of the City,"The Arab city, current site of a major political upheaval, is the central theme of this integrated-skill language and culture course. Images of cities, as multifaceted as the people who inhabit them, animate cinema screens and daily news reports, inspire masters of writing, artists, and musicians, arouse political activism. By engaging the complex representation of the urban theme in contemporary discursive and art forms, this course will enhance students' understanding of the dynamics of urban politics and culture in the Middle East, while building a content-specific lexicon and advanced communicative ability. Prerequisite: ARAB 0600, or an equivalent. Enrollment limited to 12.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ARAB 0850,Advanced reading and composition in Arabic: Kalila wa-Dimna,"This course aims to introduce students with advanced proficiency in Arabic to Classical Arabic exemplified by the stories of Kalila wa-Dimna, one of the most popular medieval Arabic folk tales, told through a cast of personified animals. While written originally in Sanskrit in the fourth century CE, the Arabic translation of Ibn al-Muqaffa’—one of the most influential prose writers in the history of Arabic literature—is what made it a classic in Arabic. It also allowed it to travel to other parts of the globe through various translations based on Ibn al-Muqaffa’s.

Students will also have an opportunity to engage with a modern version of the stories, by Munther Younes, developing further their ability to read critically authentic Arabic texts of different historical periods, sharpening their analytical skills, and expanding their perspective of the language evolution through the ages. Advanced level in Arabic is required.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ARCH 0033,Past Forward: Discovering Anthropological Archaeology (ANTH 0500),Interested students must register for ANTH 0500.,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ARCH 0524,Art and Architecture of the Roman Empire (HIAA 0032),Interested students must register for HIAA 0032.,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ARCH 0526,Behind Closed Doors? Domestic Life in the Roman World,"This course explores the archaeological remains of domestic life across the Roman world from Pompeii to Britain to Syria and attempts to reconstruct the private lives of Romans, particularly the women, children, servants, and slaves who were less visible in more public spheres. We will consider the methodological complexities of interpreting artifact assemblages and reflect on our own houses and notions of private lives both as sources of inspiration and stumbling blocks for understanding Roman domestic life as we open doors and re-people Roman houses.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIOL 0030,Principles of Nutrition,"Introduces the basic principles of human nutrition, and the application of these principles to the specific needs of humans, and the role of nutrition in chronic diseases. Provides an overview of the nutrients and their use by the human body. Also examines the role of nutrients in specific functions and disease states of the body. Not for biology concentration credit. Enrollment limited to 100.","[('BIOL 0860', 0)]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIOL 0100,Living Biology at Brown and Beyond,"BIOL 0100 is a unique first year seminar tailored to students from historically underrepresented groups who aim to study in the biological sciences. By successfully completing this course, students will be able to: 1) Apply a deeper understanding of opportunities in Biology at Brown to the development of personal academic goals. 2) Articulate goals for personal and professional growth during college and apply specific skills to achieve them. 3) Apply specific techniques to effectively engage with STEM primary literature, lectures, and research talks. 4) Draw on science from various sub-disciplines of biology to articulate how human-animal interactions in the 21st century can cause infectious disease emergence events that lead to global pandemics such as COVID-19.",[],TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
BIOL 0140T,Communicating Science Through Visual Media,"This class, offered jointly by professors at RISD and Brown, will explore the pedagogy and practice of using visual media to convey scientific concepts. The goal of this course will be to assess examples of existing material and create new animations/video that fill an educational need and make science engaging and accessible. Class time will be comprised of lectures, labs, screenings, discussions, critiques and exercises. After an introduction to teaching pedagogy and the basics of animation and visual design, small student teams will be paired with science faculty mentors to create videos and animations that explain scientific concepts.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIOL 0170,Biotechnology in Medicine,"Introduces undergraduates to the main technological advances currently dominating the practice of medicine. Provides an overview of the objectives, techniques, and problems related to the application of biomedical technology to the diagnosis and treatment of disease and the contemporary health care industry. Topics include: pharmaceutical development and formulation; organ replacement by prosthesis and transplantation; medical imaging; tissue engineering, therapeutic cloning, regenerative medicine; stem cells; societal, economic, and ethical issues. This course does carry Biology concentration credit.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIOL 0190P,Pride and Prejudice in the Development of Scientific Theories,"We will examine how the pace and shape of scientific progress is affected by the social/cultural context and the ""personality"" of the individual. We will look into how the interplay between society and the individual affects how scientific theories arise, are presented, are debated and are accepted. The course will initially focus on Charles Darwin and his theory of Natural Selection using the biography of Adrian Desmond and James Moore, ""Darwin: The Life of a Tormented Evolutionist."" Enrollment limited to 19 first year students.",[],TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BIOL 0190U,The Lives of Plants,"This course examines the lives of plants through their development, structure, function, reproduction, and responses to environmental conditions. Enrollment limited to 19 first year students.",[],TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
BIOL 0210,Diversity of Life,"This course will explore biological diversity – the number of taxa, and the functions, and processes that support life – from the perspectives of ecology and evolutionary biology. It will draw on examples and case studies from the geological record, functional morphology, the evolution of organ systems in vertebrates, genomics, behavior and sexual selection in birds and invertebrates. Overarching themes will emphasize that taxonomic diversity is an emergent property of complex life on Earth, and the importance of diversity of biological functions and processes in generating and maintaining taxonomic diversity. The course is open to all students.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIOL 0380,The Ecology and Evolution of Infectious Disease,"Infectious diseases remain among the leading causes of death worldwide, and this burden is disproportionately borne by children living in low- and middle-income countries. Thus management of infectious disease remains a critical intellectual challenge in the 21st century. This course will develop and apply ecological and evolutionary theory to infectious microbes (and their hosts) via the detailed examination of a number of case studies. This will be accomplished by a combination of lectures, discussions, and readings drawn mainly from the primary literature. Assessment will be based on biweekly problem sets, two midterms and one final exam. Expected: BIOL 0200, BIOL 0210 or equivalent.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIOL 0410,Invertebrate Zoology,"A survey of invertebrate animals emphasizing evolutionary patterns and ecological relationships. Functional morphology, physiology, reproduction, development, and behavior of invertebrates will be examined. Laboratory exercises and two separate day-long field trips provide firsthand experience with the animals. Expected: BIOL 0200 or equivalent. Enrollment limited to 44. Students MUST register for the lecture section and a lab.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIOL 0470,Genetics,"Genetic phenomena at the molecular, cellular, organismal, and population levels. Topics include transmission of genes and chromosomes, mutation, structure and regulation of the expression of the genetic material, elements of genetic engineering, and evolutionary genetics. One laboratory session and one discussion session per week. (Students should not plan to take BIOL 0470 after 1540.) Expected: BIOL 0200 (or equivalent placement). Students will be assigned to Lab sections the first week of class.","[('BIOL 1290', 0), ('BIOL 1435', 0)]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIOL 0480,Evolutionary Biology,"A broad introduction to the patterns and processes of evolution at diverse levels of biological organization. Topics covered include natural selection, adaptation, speciation, systematics, macroevolution, mass extinction events, and human evolution. Students will be given the opportunity to do their 23andMe ancestry analyses as a means of integrating the topics that span genomics to human variation. Weekly discussion sections involve active learning simulations and discussions of papers from the primary literature. Occasional problem sets involve computer exercises with population genetics and phylogeny reconstruction. Expected: BIOL 0200 (or equivalent placement).","[('BIOL 1435', 0)]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIOL 0530,Principles of Immunology,"Introduction to experimental and theoretical foundations of immunology. Focuses on concepts, landmark experiments and recent advances. Topics include innate and adaptive immunity; structure/function of antibody molecules and T cell receptors; regulation of immune responses through cellular interactions. Applications of concepts to medically significant issues (vaccines, transplantation, inflammation, autoimmunity, cancer, HIV/AIDS) are discussed. Interpretative analysis of experimental data is emphasized. Expected background: BIOL 0200 or equivalent placement credit.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIOL 0600,Genetic Screening in Model Organisms,"Using gene silencing (RNAi) in the nemotode C. elegans, students will identify genetic modifiers of proteins with roles in aging by reverse genetics. Analyzing the effect of knocking down genes on the level of aging-related proteins tagged with fluorophores (GFP, RFP, etc.). Students will use function-specific RNAi libraries (transcription factors, kinases, etc) established in our lab. Students will evaluate the effect of genetic modifiers on proteostasis and lifespan, also familiarize C. elegans work and appreciating the use of model organisms, the students will master microscopy, genetic crosses, gene silencing, and molecular and biochemical readout assays such as qPCR and immunoblotting.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIOL 0800,Principles of Physiology,Introduction to the function and integration of organ systems with an emphasis on human physiology. Includes basic concepts in cell and organ system physiology as well as fundamentals of modern trends in physiological science. Emphasizes the application of physical and chemical principles to organ function at both the cellular and systemic levels. Expected: BIOL 0200 or equivalent.,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BIOL 0940A,Viral Epidemics,This sophomore seminar will examine epidemics (outbreaks) of viral infections from a historical perspective. We will also cover current literature and up to the minute news accounts of infectious disease related outbreaks occurring around the globe. The major focus will be on virus related diseases but any microbial outbreak in the news will be explored. The seminar will cover basic aspects of microbial pathogenesis so students can gain an appreciation of microbial host interactions. Essential writing skills will also be developed. Enrollment limited to 20 sophomore students.,[],FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
CHEM 0080A,First Year Seminar- Energy,"An introductory study of the scientific foundation of energy, fundamental physical, chemical, and thermodynamic aspects of common (fossil, nuclear) as well as novel (fuel cells, solar, wind, etc.) energy sources. Concentrates on scientific principles, but includes discussion on resources and reserves, environmental impact, current usage, and future needs. For students of all disciplines who are interested in obtaining an understanding of scientific principles of energy. Enrollment limited to 19 first year students.",[],TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHEM 0080A,First Year Seminar- Energy,"An introductory study of the scientific foundation of energy, fundamental physical, chemical, and thermodynamic aspects of common (fossil, nuclear) as well as novel (fuel cells, solar, wind, etc.) energy sources. Concentrates on scientific principles, but includes discussion on resources and reserves, environmental impact, current usage, and future needs. For students of all disciplines who are interested in obtaining an understanding of scientific principles of energy. Enrollment limited to 19 first year students.",[],TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHEM 0080A,First Year Seminar- Energy,"An introductory study of the scientific foundation of energy, fundamental physical, chemical, and thermodynamic aspects of common (fossil, nuclear) as well as novel (fuel cells, solar, wind, etc.) energy sources. Concentrates on scientific principles, but includes discussion on resources and reserves, environmental impact, current usage, and future needs. For students of all disciplines who are interested in obtaining an understanding of scientific principles of energy. Enrollment limited to 19 first year students.",[],TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHEM 0100,Introductory Chemistry,"Explores stoichiometry, atomic and molecular structure, chemical bonding, solutions, gases, chemical reactions, equilibria, thermochemistry. Three hours of lecture, one conference per week, no laboratory section. S/NC.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHEM 0330L,"Equilibrium, Rate, and Structure Lab",Please see course description for CHEM 0330.,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHEM 0330,"Equilibrium, Rate, and Structure","Explores the electronic structure of atoms and molecules, thermodynamics, solution equilibrium, electrochemistry, chemical kinetics, and reaction mechanisms. Course includes lecture and laboratory sections. Laboratory cannot be taken without the lecture. Students who previously passed 0330 lab may be excused from repeating the lab portion of the course. Required background: CHEM 0100 or AP Chemistry 4 or CHEM Placement Test 8 or IBC Chemistry.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHEM 0360L,Organic Chemistry Lab,Please see course description for CHEM 0360.,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHIN 0100,Basic Chinese,"A year-long introduction to Standard Chinese (Mandarin). Speaking, reading, writing, and grammar. Five classroom meetings weekly. This is the first half of a year-long course whose first semester grade is normally a temporary one. Neither semester may be elected independently without special written permission. The final grade submitted at the end of course work in CHIN 0200 covers the entire year and is recorded as the final grade for both semesters.","[('CHIN 0200', 0), ('CHIN 0200', 0)]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHIN 0300,Intermediate Chinese,An intermediate course in Standard Chinese designed to further communicative competence and to develop reading and writing skills. Five classroom meetings weekly. Prerequisite: CHIN 0200 or permission of instructor.,"[('CHIN 0400', 0), ('CHIN 0400', 0), ('CLAS 0360', 0)]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHIN 0350,Elementary to Intermediate Chinese for Advanced Beginners,"This course is designed to enhance listening, speaking, reading, and writing skills for Chinese heritage students who have some prior knowledge of Chinese. Five classroom meetings weekly. Placement interview required.","[('CHIN 0450', 0), ('CHIN 0450', 0)]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHIN 0500,Advanced Modern Chinese I,"An advanced course designed to enable students to read authentic materials. Students enhance their listening, speaking, reading, and writing skills; improve their narrative and descriptive abilities; and learn to express abstract ideas both orally and in writing. Five classroom meetings weekly. Prerequisite: CHIN 0250 or CHIN 0400 or permission of instructor.","[('CHIN 0600', 0)]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHIN 0700,Advanced Modern Chinese II,"This course is designed to enhance the Chinese proficiency of those who have taken Advanced Modern Chinese I (CHIN 0600) or the equivalent. All four language skills are emphasized through selected authentic materials. At the end of the year, students should be able to express their ideas with sophistication and nuance. Drills on complex sentence patterns will be conducted when necessary. Prerequisite: CHIN 0600 or permission of instructor.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHIN 0920D,Business Chinese,"Business Chinese focuses on practical language skills that are most useful in business interactions in Chinese-speaking communities. Classroom activities are largely based on authentic documents and correspondence as well as a textbook. Through intensive practice in the listening, speaking, reading and writing of the Chinese language for business purposes, this course aims at enhancing students' linguistic knowledge in a business context. Classes are conducted in Chinese. Prerequisite: CHIN 0800 or instructor permission. Enrollment limited to 18.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CLAS 0090A,Women and Gender in Ancient Religions (RELS 0090A),Interested students must register for RELS 0090A.,[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CLPS 0110,Animal Behavior,"The topic of this course is the scientific study of animal behavior, based on the theoretical framework proposed by Nobel Prize winner Niko Tinbergen. This framework addresses four basic questions about behavior: its evolutionary history, its function, its development, and its causation (underlying mechanisms). Using Tinbergen’s framework, we will study two major categories of behavior – mating and aggression – in a range of animal species.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CLPS 0300,Introduction to Linguistics,"The ability to speak and understand a language involves having mastered (quite unconsciously) an intricate and highly structured rule-governed system. Linguists seek to model that rule system. This course introduces the principles underlying phonology (the principles that govern how sounds are put together), syntax (the rule system governing sentence structure), and semantics (the system that relates sentences to meanings).",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CLPS 0700,Social Psychology,"Examines the theories, findings, and methods of social psychology. Topics include: social cognition (person perception, attitudes), social influence (cultural sources of attitudes, conformity), and social relations (aggression, altruism, prejudice). Students become better informed consumers of empirical research and acquire a new framework for interpreting social behavior. Applications to historic and current events.","[('CLPS 1750', 1), ('CLPS 1770', 0)]",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CLPS 0701,Personality,"A survey of the major perspectives (psychoanalytic, behavioral, humanistic, etc.) within theories of personality. Particular emphasis is placed on the integration of research and theory.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CLPS 0900,Statistical Methods,"A survey of statistical methods used in the behavioral sciences. Topics include graphical data description, probability theory, confidence intervals, principles of hypothesis testing, analysis of variance, correlation, and regression, and techniques for categorical data. Emphasizes application of statistical methods to empirical data.","[('IAPA 1804P', 0), ('UNIV 1702', 0)]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COLT 0510C,The World of Lyric Poetry,"Lyric poetry is the prime mode for conveying emotion in many cultures, from ancient times to the present day. This course will survey the variety of forms and themes from the earliest texts from Greece, Rome, China and Japan, then the glories of the Renaissance and the Tang Dynasty, then move to the challenges for lyric expression in the modern world. Enrollment limited to 19 first year studens.",[],TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
COLT 0610D,Rites of Passage,"Examines a seemingly universal theme-coming of age-by focusing on texts from disparate periods and cultures. Proposes that notions of ""growing up"" are profoundly inflected by issues of class, gender and race, and that the literary representation of these matters changes drastically over time. Texts from the Middle Ages to the present; authors drawn from Chrétien de Troyes, Quevedo, Prévost, Balzac, Brontë, Twain, Faulkner, Vesaas, Rhys, Satrapi and Foer. Enrollment limited to 19 first year students.",[],TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
COLT 0710Q,The Odyssey in Literature and Film,"Examines reincarnations of the Homeric figure of Odysseus in contemporary literatures and film as modernist figure, postcolonial subject, and existentialist hero. How is the Odysseus myth altered from culture to culture (Greece, Rome, Ireland, the Caribbean)? How is it re-visioned in different historical periods and from different perspectives (feminist, marxist, postcolonial) and genres (epic, poetry, the novel, film, drama)? Major authors include Homer, Virgil, Tennyson, Joyce, Kazantzakis, Cavafy, Seferis, Atwood, Walcott; criticism by Bakhtin, Edith Hall, Adorno, Derrida. Films include works by Angelopoulos, the Coen brothers; Singer’s Usual Suspects, Mendes’ James Bond offering Skyfall, and Kubrick’s 2001: Space Odyssey.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COST 0140,"Food, Religion and Politics in South Asia","Why study food? What can food tell us about religion, politics, and culture? Food in South Asia often shapes identity, social status, ritual purity, religious belonging, and political activism—the notion that you are what you eat has wide currency. Whatever form it takes, food embodies histories of migration, trade, empire, colonialism, and ethics. Through reading primary texts and ethnographic articles, watching films, and (of course) eating delicious food, we will explore the rich foodways of South Asia and their social, religious, and political ramifications.",[],FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
COST 0200,Meditation and the Brain,"This course provides an exploration and critique of psychological and neuroscientific research on meditation by situating the current applications of meditation in the West in the broader historical context of the development of Buddhism. In this course, we will critically evaluate the findings of scientific and clinical studies of meditation in terms of their methodological rigor, implicit assumptions, and biases. We will also study the transmission of Buddhism from Asia to the West in order to understand the influence of Buddhism norms and worldviews on contemporary applications of meditation. This course will also feature first-person experiential learning in select meditation practices.",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COST 0526,This Whole World is OM: Mantras in Indian Religions,"A mantra is a syllable or formula used in ritual and meditation. Mantras are central to Indian religions—not only Hinduism, but also Jainism, Buddhism, Sufism, and Sikhism. Some mantras are made up of words and language—usually in Sanskrit—while others are sound fragments with no semantic meaning. The sacred syllable OM, now a global symbol of Eastern spirituality, exemplifies the power and authority of mantra. What are mantras? What do they accomplish? How do they shape identities, beliefs, and practices? Engaging with sacred utterance in various media, this course explores the world of mantras in India and beyond.",[],FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
COST 0555,Zen: An Introduction,"“Zen” has become a common trope in modern North American Culture but few people know what the term really means. This course will study Zen’s origins in Indian Perfection of Wisdom teachings, follow its meanderings through China from the legend of Bodhidharma through the Five Houses of Chan, and chart its arrival and developments in Japan and eventual transplanting to the West. We will focus on several important Zen teachers: Huineng and Linji in China, Dōgen, Bankei and Hakuin in Japan. We will also explore the essential technique of kôan meditation and the practice of “just sitting.""",[],FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CSCI 0020,The Digital World,"Removes the mystery surrounding computers and the ever-growing digital world. Introduces a range of topics and many aspects of multimedia, along with explanations of the underlying digital technology and its relevance to our society. Other topics include artificial intelligence, IT security, ethics and the economics of computing as well as the effects of its pervasiveness in today’s world. Introductory programming and analytic skills are developed through HTML, Photoshop, Excel and Python assignments. CSCI 0020 is a good introduction to a wide range of CS topics that have broad relevance in our society. No prerequisites.","[('BIOL 1595', 0), ('BIOL 2595', 0)]",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
